id,title,published_at,news_site,url
39182,Meet space startups at ESA’s Industry Space Days,2026-07-27 08:05:00,ESA,https://www.esa.int/About_Us/Business_with_ESA/Meet_space_startups_at_ESA_s_Industry_Space_Days
39181,ESA Ground Station in Spain Cleared to Return to Service After Wildfire Threat,2026-07-27 07:27:45,European Spaceflight,https://europeanspaceflight.com/esa-ground-station-in-spain-cleared-to-return-to-service-after-wildfire-threat/
39180,"Juno reveals surprising subsurface tempertures at Io, remarkably smooth surface",2026-07-26 23:21:55,NASASpaceflight,https://www.nasaspaceflight.com/2026/07/juno-io-subsurface-temps/
39179,"What’s Happening in Space Policy July 26-August 1, 2026",2026-07-26 18:12:23,SpacePolicyOnline.com,https://spacepolicyonline.com/news/whats-happening-in-space-policy-july-26-august-1-2026/
39178,Soyuz MS-28 Back Home After 8 Months on ISS,2026-07-26 11:43:13,SpacePolicyOnline.com,https://spacepolicyonline.com/news/soyuz-ms-28-back-home-after-8-months-on-iss/
39177,"NASA Astronaut Chris Williams, Crewmates Return from Space Station",2026-07-26 10:59:44,NASA,https://www.nasa.gov/news-release/nasa-astronaut-chris-williams-crewmates-return-from-space-station/
39176,NASA and ESA facilities avoid major damage from wildfires in Spain,2026-07-26 02:15:37,SpaceNews,https://spacenews.com/nasa-and-esa-facilities-avoid-major-damage-from-wildfires-in-spain/
39175,Successful Flight for Starship IFT-13,2026-07-25 17:36:37,SpacePolicyOnline.com,https://spacepolicyonline.com/news/successful-flight-for-starship-ift-13/
39174,Live Coverage: SpaceX Falcon 9 to launch Starlink satellites from West Coast,2026-07-25 13:58:51,Spaceflight Now,https://spaceflightnow.com/2026/07/25/live-coverage-spacex-falcon-9-to-launch-starlink-satellites-from-west-coast/
39173,Super Heavy-Starship rocket chalks up mostly successful test flight,2026-07-25 01:08:45,Spaceflight Now,https://spaceflightnow.com/2026/07/25/super-heavy-starship-rocket-chalks-up-mostly-successful-test-flight/
